Feature,Check Meter Config,Dataset,Accuracy
Gamma Deviance,C1,1,0.974025974025974
Gamma Deviance,C1,2,0.9155844155844156
Gamma Deviance,C1,3,0.8441558441558441
Gamma Deviance,C1,4,0.887987012987013
Gamma Deviance,C1,5,0.8295454545454546
Gamma Deviance,C2,1,0.948051948051948
Gamma Deviance,C2,2,0.9285714285714286
Gamma Deviance,C2,3,0.9058441558441559
Gamma Deviance,C2,4,0.922077922077922
Gamma Deviance,C2,5,0.875
Gamma Deviance,C3,1,0.961038961038961
Gamma Deviance,C3,2,0.9301948051948052
Gamma Deviance,C3,3,0.935064935064935
Gamma Deviance,C3,4,0.9366883116883117
Gamma Deviance,C3,5,0.8928571428571429
Gamma Deviance,C4,1,0.9496753246753247
Gamma Deviance,C4,2,0.9301948051948052
Gamma Deviance,C4,3,0.9301948051948052
Gamma Deviance,C4,4,0.9334415584415584
Gamma Deviance,C4,5,0.9155844155844156
Gamma Deviance,C5,1,0.9448051948051948
Gamma Deviance,C5,2,0.9188311688311688
Gamma Deviance,C5,3,0.9188311688311688
Gamma Deviance,C5,4,0.9285714285714286
Gamma Deviance,C5,5,0.9058441558441559
Gamma Deviance,C6,1,0.8344155844155844
Gamma Deviance,C6,2,0.8262987012987013
Gamma Deviance,C6,3,0.8863636363636364
Gamma Deviance,C6,4,0.8587662337662337
Gamma Deviance,C6,5,0.8961038961038961
Log Cosh Loss,C1,1,0.9886363636363636
Log Cosh Loss,C1,2,0.987012987012987
Log Cosh Loss,C1,3,1.0
Log Cosh Loss,C1,4,0.9853896103896104
Log Cosh Loss,C1,5,0.9935064935064936
Log Cosh Loss,C2,1,0.9707792207792207
Log Cosh Loss,C2,2,0.9772727272727273
Log Cosh Loss,C2,3,0.9902597402597403
Log Cosh Loss,C2,4,0.9788961038961039
Log Cosh Loss,C2,5,0.9707792207792207
Log Cosh Loss,C3,1,0.9561688311688312
Log Cosh Loss,C3,2,0.961038961038961
Log Cosh Loss,C3,3,0.9837662337662337
Log Cosh Loss,C3,4,0.9853896103896104
Log Cosh Loss,C3,5,0.9675324675324676
Log Cosh Loss,C4,1,0.948051948051948
Log Cosh Loss,C4,2,0.9366883116883117
Log Cosh Loss,C4,3,0.9642857142857143
Log Cosh Loss,C4,4,0.9594155844155844
Log Cosh Loss,C4,5,0.952922077922078
Log Cosh Loss,C5,1,0.8798701298701299
Log Cosh Loss,C5,2,0.8766233766233766
Log Cosh Loss,C5,3,0.8717532467532467
Log Cosh Loss,C5,4,0.8668831168831169
Log Cosh Loss,C5,5,0.8993506493506493
Log Cosh Loss,C6,1,0.7353896103896104
Log Cosh Loss,C6,2,0.7386363636363636
Log Cosh Loss,C6,3,0.75
Log Cosh Loss,C6,4,0.7435064935064936
Log Cosh Loss,C6,5,0.7597402597402597
Percent Loss Error,C1,1,0.974025974025974
Percent Loss Error,C1,2,0.913961038961039
Percent Loss Error,C1,3,0.8636363636363636
Percent Loss Error,C1,4,0.8636363636363636
Percent Loss Error,C1,5,0.797077922077922
Percent Loss Error,C2,1,0.948051948051948
Percent Loss Error,C2,2,0.913961038961039
Percent Loss Error,C2,3,0.9204545454545454
Percent Loss Error,C2,4,0.9123376623376623
Percent Loss Error,C2,5,0.8376623376623377
Percent Loss Error,C3,1,0.961038961038961
Percent Loss Error,C3,2,0.9301948051948052
Percent Loss Error,C3,3,0.9253246753246753
Percent Loss Error,C3,4,0.9366883116883117
Percent Loss Error,C3,5,0.8831168831168831
Percent Loss Error,C4,1,0.9561688311688312
Percent Loss Error,C4,2,0.9204545454545454
Percent Loss Error,C4,3,0.9301948051948052
Percent Loss Error,C4,4,0.9334415584415584
Percent Loss Error,C4,5,0.8928571428571429
Percent Loss Error,C5,1,0.9464285714285714
Percent Loss Error,C5,2,0.926948051948052
Percent Loss Error,C5,3,0.9237012987012987
Percent Loss Error,C5,4,0.9301948051948052
Percent Loss Error,C5,5,0.9058441558441559
Percent Loss Error,C6,1,0.801948051948052
Percent Loss Error,C6,2,0.8295454545454546
Percent Loss Error,C6,3,0.8993506493506493
Percent Loss Error,C6,4,0.8457792207792207
Percent Loss Error,C6,5,0.8961038961038961
Poisson Deviance,C1,1,0.9902597402597403
Poisson Deviance,C1,2,0.9772727272727273
Poisson Deviance,C1,3,0.9837662337662337
Poisson Deviance,C1,4,0.974025974025974
Poisson Deviance,C1,5,0.9642857142857143
Poisson Deviance,C2,1,0.9756493506493507
Poisson Deviance,C2,2,0.9691558441558441
Poisson Deviance,C2,3,0.9837662337662337
Poisson Deviance,C2,4,0.9642857142857143
Poisson Deviance,C2,5,0.9642857142857143
Poisson Deviance,C3,1,0.9691558441558441
Poisson Deviance,C3,2,0.9431818181818182
Poisson Deviance,C3,3,0.974025974025974
Poisson Deviance,C3,4,0.9853896103896104
Poisson Deviance,C3,5,0.9675324675324676
Poisson Deviance,C4,1,0.948051948051948
Poisson Deviance,C4,2,0.9366883116883117
Poisson Deviance,C4,3,0.9691558441558441
Poisson Deviance,C4,4,0.9545454545454546
Poisson Deviance,C4,5,0.9626623376623377
Poisson Deviance,C5,1,0.8831168831168831
Poisson Deviance,C5,2,0.8668831168831169
Poisson Deviance,C5,3,0.8798701298701299
Poisson Deviance,C5,4,0.8522727272727273
Poisson Deviance,C5,5,0.8798701298701299
Poisson Deviance,C6,1,0.7467532467532467
Poisson Deviance,C6,2,0.7077922077922078
Poisson Deviance,C6,3,0.7483766233766234
Poisson Deviance,C6,4,0.7045454545454546
Poisson Deviance,C6,5,0.737012987012987
