cm_1_power,cm_2_power,cm_3_power,cm_4_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
499.42677,341.437432,263.6697,247.735748,27.870768,39.664813,27.13199,66.712254,6.698899,65.660065,12.806509,33.031867,39.35478,16.532155,27.383719,34.001847,21.203822,-17.213842,32.082071,40.713182,15.891824,28.281969,29.475175,24.930781,20.258108,14.19132,14.389865,19.427351,24.871894,38.362348,11.006428,1.178239,14.239604,42.107292,11.853508,28.56795,30.423695,22.135467,20.594656,15.848949,26.722672,17.120851,12.489465,6.086122,15.156476,45.01039,32.761728,35.673431,16.008355,18.749337,2.588162,11.775365,23.595327,27.832086,9.894995,26.37205,44.990508,31.5702,33.965254,0.0,1.0
499.42677,341.437432,263.6697,247.735748,16.330163,39.664813,27.13199,66.712254,6.698899,65.660065,12.806509,33.031867,39.35478,16.532155,27.383719,34.001847,21.203822,-17.213842,32.082071,40.713182,15.891824,28.281969,29.475175,24.930781,20.258108,14.19132,14.389865,19.427351,24.871894,38.362348,11.006428,1.178239,14.239604,42.107292,11.853508,28.56795,30.423695,22.135467,20.594656,15.848949,26.722672,17.120851,12.489465,6.086122,15.156476,45.01039,32.761728,35.673431,16.008355,18.749337,2.588162,11.775365,23.595327,27.832086,9.894995,26.37205,44.990508,31.5702,33.965254,1.0,1.0
500.76575,334.34929,262.983079,201.972072,30.973803,49.699192,33.756921,108.336712,11.620351,40.619127,15.643004,27.18237,28.751728,8.576765,23.736847,52.847844,23.817159,-33.853315,20.912621,27.172582,21.355064,27.282838,65.63727,17.125647,13.130615,13.443163,12.253513,21.142197,25.144574,44.991681,16.650038,4.325193,14.352564,14.518242,13.209397,27.162515,42.104517,23.059339,13.569501,16.824826,21.756879,17.788254,14.153819,-0.336399,19.418008,42.066664,17.024333,25.459522,14.924758,15.208415,0.613959,5.179205,28.207141,20.746012,13.232354,12.48111,46.77778,16.724406,39.874444,0.0,2.0
500.76575,334.34929,262.983079,201.972072,18.148307,49.699192,33.756921,108.336712,11.620351,40.619127,15.643004,27.18237,28.751728,8.576765,23.736847,52.847844,23.817159,-33.853315,20.912621,27.172582,21.355064,27.282838,65.63727,17.125647,13.130615,13.443163,12.253513,21.142197,25.144574,44.991681,16.650038,4.325193,14.352564,14.518242,13.209397,27.162515,42.104517,23.059339,13.569501,16.824826,21.756879,17.788254,14.153819,-0.336399,19.418008,42.066664,17.024333,25.459522,14.924758,15.208415,0.613959,5.179205,28.207141,20.746012,13.232354,12.48111,46.77778,16.724406,39.874444,1.0,2.0
446.662488,296.727784,302.774906,218.534282,39.447398,40.898704,18.437544,57.234287,5.525747,41.021598,13.464284,17.965452,28.533086,13.579573,25.894132,40.416795,25.437953,-39.46525,15.053555,28.556363,64.893181,24.865351,26.190772,19.088989,12.802436,14.702286,14.739955,24.403003,28.939732,54.313419,19.761567,4.288582,11.942863,27.345467,12.921684,25.510318,30.051213,18.442667,15.20768,17.155447,21.273301,25.919153,16.098357,2.254454,16.722764,53.091209,20.677233,25.850522,10.444522,17.255678,4.185119,8.698927,26.776075,20.461493,13.574726,10.724408,64.30463,11.923044,42.712583,0.0,3.0
446.662488,296.727784,302.774906,218.534282,23.113194,40.898704,18.437544,57.234287,5.525747,41.021598,13.464284,17.965452,28.533086,13.579573,25.894132,40.416795,25.437953,-39.46525,15.053555,28.556363,64.893181,24.865351,26.190772,19.088989,12.802436,14.702286,14.739955,24.403003,28.939732,54.313419,19.761567,4.288582,11.942863,27.345467,12.921684,25.510318,30.051213,18.442667,15.20768,17.155447,21.273301,25.919153,16.098357,2.254454,16.722764,53.091209,20.677233,25.850522,10.444522,17.255678,4.185119,8.698927,26.776075,20.461493,13.574726,10.724408,64.30463,11.923044,42.712583,1.0,3.0
619.160082,307.107617,413.858282,252.076661,33.902327,65.347926,18.47495,92.221978,8.93918,50.486834,14.496074,22.897788,75.187783,10.275825,22.901766,27.427529,32.946275,-30.588479,20.500891,62.399568,75.005202,31.429198,23.53291,18.515805,15.755805,21.482465,15.244965,30.307552,24.383167,53.999174,14.929333,5.480197,12.981163,17.475732,12.185585,28.964049,39.639476,22.216992,12.094904,14.612439,24.308717,106.812895,11.671777,-1.406175,20.494323,55.469866,21.738417,54.818086,16.132105,15.655016,1.449923,2.153576,31.896922,18.665415,12.703416,10.474967,73.865517,32.504365,44.690014,0.0,4.0
619.160082,307.107617,413.858282,252.076661,19.864201,65.347926,18.47495,92.221978,8.93918,50.486834,14.496074,22.897788,75.187783,10.275825,22.901766,27.427529,32.946275,-30.588479,20.500891,62.399568,75.005202,31.429198,23.53291,18.515805,15.755805,21.482465,15.244965,30.307552,24.383167,53.999174,14.929333,5.480197,12.981163,17.475732,12.185585,28.964049,39.639476,22.216992,12.094904,14.612439,24.308717,106.812895,11.671777,-1.406175,20.494323,55.469866,21.738417,54.818086,16.132105,15.655016,1.449923,2.153576,31.896922,18.665415,12.703416,10.474967,73.865517,32.504365,44.690014,1.0,4.0
778.23008,361.880544,489.133981,268.152425,59.733825,141.491825,29.780357,111.275132,7.839472,53.551979,17.28163,22.823743,72.776703,19.983094,31.449249,29.370489,18.687134,-3.917785,16.038137,66.220674,64.071763,32.523504,52.353769,19.767427,19.275608,14.275716,14.52562,72.765774,19.572618,46.078913,15.970601,8.966512,11.701049,25.780087,10.270622,23.368799,52.082893,22.680281,21.199623,19.210355,25.073339,99.10464,26.838839,5.135163,24.04829,41.396769,26.328074,65.236925,12.356311,11.416336,3.497362,17.879684,58.182239,15.589272,10.567271,14.183336,79.941285,32.54451,43.151523,0.0,5.0
778.23008,361.880544,489.133981,268.152425,34.999507,141.491825,29.780357,111.275132,7.839472,53.551979,17.28163,22.823743,72.776703,19.983094,31.449249,29.370489,18.687134,-3.917785,16.038137,66.220674,64.071763,32.523504,52.353769,19.767427,19.275608,14.275716,14.52562,72.765774,19.572618,46.078913,15.970601,8.966512,11.701049,25.780087,10.270622,23.368799,52.082893,22.680281,21.199623,19.210355,25.073339,99.10464,26.838839,5.135163,24.04829,41.396769,26.328074,65.236925,12.356311,11.416336,3.497362,17.879684,58.182239,15.589272,10.567271,14.183336,79.941285,32.54451,43.151523,1.0,5.0
556.35631,357.809124,414.701679,253.679897,27.699263,45.937635,20.950305,95.242141,11.878991,63.930692,22.392023,26.527425,38.280762,27.767421,36.157453,24.953551,21.44102,2.849071,21.583682,30.67516,24.437456,56.367921,38.742329,18.219134,23.457954,15.953601,13.044985,24.908519,20.381218,50.715783,20.280993,7.314811,9.80622,22.700157,13.321287,24.200592,43.715327,26.102842,16.981723,14.86589,22.858871,72.565896,28.898508,6.029242,16.901217,43.045325,21.992219,82.46841,11.083082,19.909709,6.675829,9.507065,29.372861,18.868057,16.215269,14.785766,68.142464,27.597857,44.737083,0.0,6.0
556.35631,357.809124,414.701679,253.679897,16.229674,45.937635,20.950305,95.242141,11.878991,63.930692,22.392023,26.527425,38.280762,27.767421,36.157453,24.953551,21.44102,2.849071,21.583682,30.67516,24.437456,56.367921,38.742329,18.219134,23.457954,15.953601,13.044985,24.908519,20.381218,50.715783,20.280993,7.314811,9.80622,22.700157,13.321287,24.200592,43.715327,26.102842,16.981723,14.86589,22.858871,72.565896,28.898508,6.029242,16.901217,43.045325,21.992219,82.46841,11.083082,19.909709,6.675829,9.507065,29.372861,18.868057,16.215269,14.785766,68.142464,27.597857,44.737083,1.0,6.0
512.967416,313.165534,326.019661,185.305199,25.433094,35.262692,21.654324,97.892708,22.453154,45.201043,13.978709,25.71499,32.898759,26.27313,24.068917,45.115245,24.475102,-20.60296,28.576671,32.594743,21.627712,40.930507,26.005372,20.083823,20.070876,18.547756,13.293571,20.173016,18.878508,52.748097,16.360591,0.228138,11.630828,26.26306,11.296675,24.084712,29.05052,18.062457,13.564452,23.819134,20.76276,79.031574,11.347145,-0.344076,21.290227,39.864929,18.776272,42.602996,9.575658,14.253423,3.773744,3.215175,21.210336,31.79327,9.447527,8.091236,16.924249,24.890104,40.819727,0.0,7.0
512.967416,313.165534,326.019661,185.305199,14.901871,35.262692,21.654324,97.892708,22.453154,45.201043,13.978709,25.71499,32.898759,26.27313,24.068917,45.115245,24.475102,-20.60296,28.576671,32.594743,21.627712,40.930507,26.005372,20.083823,20.070876,18.547756,13.293571,20.173016,18.878508,52.748097,16.360591,0.228138,11.630828,26.26306,11.296675,24.084712,29.05052,18.062457,13.564452,23.819134,20.76276,79.031574,11.347145,-0.344076,21.290227,39.864929,18.776272,42.602996,9.575658,14.253423,3.773744,3.215175,21.210336,31.79327,9.447527,8.091236,16.924249,24.890104,40.819727,1.0,7.0
505.23936,424.17048,308.063951,342.964829,57.969747,33.843744,9.690806,0.857155,22.387791,30.762476,12.578777,15.307363,84.248596,12.808236,46.334631,23.842322,22.795385,19.76854,20.132005,50.213475,28.118005,7.151838,8.999455,66.663518,21.485519,21.022026,32.917621,20.425083,31.644172,33.706894,26.837788,4.974491,13.920504,25.66534,44.420722,22.053719,36.217251,30.222313,32.85922,27.760344,21.568505,20.546294,30.714229,28.956274,36.920516,14.44354,87.18231,33.439628,27.277928,52.294971,13.009208,-7.458768,54.913654,63.720046,13.949686,17.106215,28.462935,10.464432,15.134545,0.0,8.0
505.23936,424.17048,308.063951,342.964829,57.969747,24.135935,9.690806,0.857155,22.387791,30.762476,12.578777,15.307363,84.248596,12.808236,46.334631,23.842322,22.795385,19.76854,20.132005,50.213475,28.118005,7.151838,8.999455,66.663518,21.485519,21.022026,32.917621,20.425083,31.644172,33.706894,26.837788,4.974491,13.920504,25.66534,44.420722,22.053719,36.217251,30.222313,32.85922,27.760344,21.568505,20.546294,30.714229,28.956274,36.920516,14.44354,87.18231,33.439628,27.277928,52.294971,13.009208,-7.458768,54.913654,63.720046,13.949686,17.106215,28.462935,10.464432,15.134545,1.0,8.0
440.62347,422.219773,302.421182,283.789015,50.180308,35.279433,0.587526,3.70968,19.086595,28.90704,-19.676843,16.493994,72.310213,21.339899,45.494688,25.695603,19.759182,20.089535,17.572075,45.009873,27.416562,41.368704,14.279,57.180052,21.113383,14.683083,25.119854,31.326463,31.686596,39.757655,33.291923,10.658374,13.252,19.069246,41.791914,37.792097,27.190421,33.219552,35.329176,20.734013,24.697116,16.441023,22.035473,22.41076,31.353069,19.250331,61.782648,48.329818,20.983707,42.051076,16.316613,-21.840624,22.292592,39.727627,24.23214,17.782104,23.018267,14.695969,11.031283,0.0,9.0
440.62347,422.219773,302.421182,283.789015,50.180308,25.159808,0.587526,3.70968,19.086595,28.90704,-19.676843,16.493994,72.310213,21.339899,45.494688,25.695603,19.759182,20.089535,17.572075,45.009873,27.416562,41.368704,14.279,57.180052,21.113383,14.683083,25.119854,31.326463,31.686596,39.757655,33.291923,10.658374,13.252,19.069246,41.791914,37.792097,27.190421,33.219552,35.329176,20.734013,24.697116,16.441023,22.035473,22.41076,31.353069,19.250331,61.782648,48.329818,20.983707,42.051076,16.316613,-21.840624,22.292592,39.727627,24.23214,17.782104,23.018267,14.695969,11.031283,1.0,9.0
423.557881,442.07832,292.556173,305.811191,42.730686,32.606593,-5.474614,6.700789,18.95369,26.249324,-15.496608,14.670512,78.375204,12.978569,43.851429,20.62123,21.417253,19.42352,13.888412,54.86496,25.178198,2.663058,51.326607,57.25168,22.243485,16.573119,30.190339,21.387528,36.837455,42.213916,18.310023,11.554509,14.524083,11.751984,52.657477,24.763961,30.673644,34.188617,36.579088,20.505462,22.441575,18.249194,16.946082,28.348663,36.814688,22.411645,66.544797,60.07684,26.528518,45.62951,14.121525,-19.310945,29.251173,39.993884,20.305195,25.957101,23.782742,9.125931,13.789569,0.0,10.0
423.557881,442.07832,292.556173,305.811191,42.730686,23.25365,-5.474614,6.700789,18.95369,26.249324,-15.496608,14.670512,78.375204,12.978569,43.851429,20.62123,21.417253,19.42352,13.888412,54.86496,25.178198,2.663058,51.326607,57.25168,22.243485,16.573119,30.190339,21.387528,36.837455,42.213916,18.310023,11.554509,14.524083,11.751984,52.657477,24.763961,30.673644,34.188617,36.579088,20.505462,22.441575,18.249194,16.946082,28.348663,36.814688,22.411645,66.544797,60.07684,26.528518,45.62951,14.121525,-19.310945,29.251173,39.993884,20.305195,25.957101,23.782742,9.125931,13.789569,1.0,10.0
514.021875,446.356696,338.387081,477.358724,95.32344,39.50302,0.198188,19.311787,20.417678,32.774949,-23.007309,15.451253,70.601059,12.988924,42.866405,21.744875,17.386322,22.986488,18.149822,65.614791,23.081232,-1.77464,61.799086,53.807286,23.355953,15.351046,27.911715,31.615198,31.15831,44.191173,18.411022,14.837342,20.545771,14.332692,54.416255,9.306905,27.494473,41.312698,32.538785,18.921284,22.986492,12.894731,21.996089,30.316263,78.335496,27.074182,67.917277,63.146448,22.629449,85.989602,23.834984,-15.764487,22.303574,49.208399,53.443796,105.983611,21.650816,12.568225,10.041265,0.0,11.0
514.021875,446.356696,338.387081,477.358724,95.32344,28.171893,0.198188,19.311787,20.417678,32.774949,-23.007309,15.451253,70.601059,12.988924,42.866405,21.744875,17.386322,22.986488,18.149822,65.614791,23.081232,-1.77464,61.799086,53.807286,23.355953,15.351046,27.911715,31.615198,31.15831,44.191173,18.411022,14.837342,20.545771,14.332692,54.416255,9.306905,27.494473,41.312698,32.538785,18.921284,22.986492,12.894731,21.996089,30.316263,78.335496,27.074182,67.917277,63.146448,22.629449,85.989602,23.834984,-15.764487,22.303574,49.208399,53.443796,105.983611,21.650816,12.568225,10.041265,1.0,11.0
786.790352,630.749417,483.528284,491.526897,86.681105,45.525079,22.522578,25.568255,24.701191,32.908798,27.72232,17.344735,119.510161,29.881061,49.515671,98.677532,26.202358,23.264394,22.3532,73.433141,22.791182,41.240297,52.442838,79.175477,112.529949,58.197993,31.296818,45.369776,24.105357,42.863853,29.310316,13.198779,13.511822,17.234457,39.943028,19.228816,37.673977,43.286618,36.2732,15.891861,24.700109,21.886753,16.795691,27.616055,49.715572,50.723236,57.747226,37.11146,47.674175,80.947531,42.130415,5.689821,116.830447,52.533814,68.62621,96.643914,25.205494,10.469237,11.668563,0.0,12.0
786.790352,630.749417,483.528284,491.526897,86.681105,32.466572,22.522578,25.568255,24.701191,32.908798,27.72232,17.344735,119.510161,29.881061,49.515671,98.677532,26.202358,23.264394,22.3532,73.433141,22.791182,41.240297,52.442838,79.175477,112.529949,58.197993,31.296818,45.369776,24.105357,42.863853,29.310316,13.198779,13.511822,17.234457,39.943028,19.228816,37.673977,43.286618,36.2732,15.891861,24.700109,21.886753,16.795691,27.616055,49.715572,50.723236,57.747226,37.11146,47.674175,80.947531,42.130415,5.689821,116.830447,52.533814,68.62621,96.643914,25.205494,10.469237,11.668563,1.0,12.0
728.12847,482.363831,416.006462,442.491667,45.728154,51.72088,7.424757,43.020974,25.076792,57.047212,29.723062,15.578541,162.224778,23.002959,67.07757,28.91783,26.971265,23.824803,18.748944,55.001317,20.115172,26.388159,16.346978,78.918992,41.058916,21.735511,26.627114,37.3089,23.762899,44.407163,20.984301,11.077674,15.083777,20.398298,41.757503,15.107036,30.035053,51.429962,38.550242,18.995556,28.87745,15.232793,14.929801,22.826135,32.120741,36.866719,82.719947,32.102142,20.577702,100.313756,22.435464,4.794304,80.007429,62.356472,78.385367,70.869047,22.657071,14.83503,11.510388,0.0,13.0
728.12847,482.363831,416.006462,442.491667,45.728154,36.885156,7.424757,43.020974,25.076792,57.047212,29.723062,15.578541,162.224778,23.002959,67.07757,28.91783,26.971265,23.824803,18.748944,55.001317,20.115172,26.388159,16.346978,78.918992,41.058916,21.735511,26.627114,37.3089,23.762899,44.407163,20.984301,11.077674,15.083777,20.398298,41.757503,15.107036,30.035053,51.429962,38.550242,18.995556,28.87745,15.232793,14.929801,22.826135,32.120741,36.866719,82.719947,32.102142,20.577702,100.313756,22.435464,4.794304,80.007429,62.356472,78.385367,70.869047,22.657071,14.83503,11.510388,1.0,13.0
540.339346,392.727999,290.207406,399.207149,47.391121,35.155611,9.06978,33.211077,22.258685,45.675094,-11.183632,15.102558,73.544696,12.837732,85.144123,25.101519,17.249562,21.397485,25.046129,45.713317,22.721208,-1.174606,13.814064,51.225093,22.285328,19.222494,33.234633,20.652075,23.784354,40.341053,21.652942,10.421365,17.975983,17.653878,39.122739,25.663399,37.374675,30.406776,31.21112,31.806103,23.084179,14.921095,15.109898,46.976092,25.262418,12.922767,63.163581,39.203092,25.281447,73.16561,15.234911,-17.511234,32.215424,44.178523,36.060699,78.068135,24.459731,29.095738,10.566157,0.0,14.0
540.339346,392.727999,290.207406,399.207149,47.391121,25.071503,9.06978,33.211077,22.258685,45.675094,-11.183632,15.102558,73.544696,12.837732,85.144123,25.101519,17.249562,21.397485,25.046129,45.713317,22.721208,-1.174606,13.814064,51.225093,22.285328,19.222494,33.234633,20.652075,23.784354,40.341053,21.652942,10.421365,17.975983,17.653878,39.122739,25.663399,37.374675,30.406776,31.21112,31.806103,23.084179,14.921095,15.109898,46.976092,25.262418,12.922767,63.163581,39.203092,25.281447,73.16561,15.234911,-17.511234,32.215424,44.178523,36.060699,78.068135,24.459731,29.095738,10.566157,1.0,14.0
592.921597,392.501762,409.220983,336.778458,28.714426,22.600691,9.722884,32.792597,30.641031,26.979697,28.176334,14.627658,52.840488,12.624074,44.925174,-1.090085,50.113208,52.125758,49.867456,65.989203,55.653051,35.080774,18.925766,19.723131,14.222999,22.346218,24.509349,62.234433,36.756992,25.201111,39.639852,56.88496,29.009788,35.577216,37.396802,33.617211,7.678099,21.303762,22.993191,9.494203,55.507968,19.52745,66.532063,5.184945,46.138779,21.808927,28.824843,7.577445,15.804359,22.789401,33.503731,31.878863,20.227618,19.102887,5.759522,69.156746,75.453914,17.194997,19.584139,0.0,15.0
592.921597,392.501762,409.220983,336.778458,28.714426,22.600691,6.378295,32.792597,30.641031,26.979697,28.176334,14.627658,52.840488,12.624074,44.925174,-1.090085,50.113208,52.125758,49.867456,65.989203,55.653051,35.080774,18.925766,19.723131,14.222999,22.346218,24.509349,62.234433,36.756992,25.201111,39.639852,56.88496,29.009788,35.577216,37.396802,33.617211,7.678099,21.303762,22.993191,9.494203,55.507968,19.52745,66.532063,5.184945,46.138779,21.808927,28.824843,7.577445,15.804359,22.789401,33.503731,31.878863,20.227618,19.102887,5.759522,69.156746,75.453914,17.194997,19.584139,1.0,15.0
587.129028,383.482644,362.997657,287.219617,27.41032,23.311135,9.803749,21.175414,28.701889,30.460583,20.932789,14.160863,88.969984,9.926604,42.142573,-1.074312,40.169649,50.187581,67.977823,46.897766,51.27872,38.853565,12.704995,20.952257,14.338926,33.951172,12.935693,32.208393,35.077727,23.03183,45.789873,29.799516,22.368819,20.790569,33.359959,33.022658,10.276543,36.727778,21.003985,10.433539,57.993811,33.922475,56.733903,-0.57611,60.736182,22.248458,23.140759,12.568008,16.751961,22.69412,51.988309,31.102743,18.669946,24.360105,5.880506,41.448488,34.354254,9.050841,19.250879,0.0,16.0
