cm_1_power,cm_2_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
896.503004,615.775366,23.141076,23.307972,29.531585,22.873824,24.170112,13.719033,14.772021,30.311021,17.291396,30.479291,38.172173,43.245741,9.208121,61.411386,35.318507,19.737597,84.573987,32.204872,13.719764,61.885949,41.35164,2.537648,7.252825,13.384433,65.059091,12.511839,30.395629,18.625994,22.698161,34.925987,33.172085,-7.403258,14.177493,4.619088,-3.68293,25.053023,5.36766,18.376014,67.223939,13.043441,34.273449,11.301239,60.893622,23.98727,33.114961,27.274737,26.03548,22.126392,-6.746699,42.547795,10.350531,58.294792,16.473429,54.826609,32.844098,0.0,1.0
896.503004,615.775366,14.489744,23.307972,29.531585,22.873824,24.170112,13.719033,14.772021,30.311021,17.291396,30.479291,38.172173,43.245741,9.208121,61.411386,35.318507,19.737597,84.573987,32.204872,13.719764,61.885949,41.35164,2.537648,7.252825,13.384433,65.059091,12.511839,30.395629,18.625994,22.698161,34.925987,33.172085,-7.403258,14.177493,4.619088,-3.68293,25.053023,5.36766,18.376014,67.223939,13.043441,34.273449,11.301239,60.893622,23.98727,33.114961,27.274737,26.03548,22.126392,-6.746699,42.547795,10.350531,58.294792,16.473429,54.826609,32.844098,1.0,1.0
905.631709,531.126155,23.003368,24.327496,66.256166,19.747081,17.387607,14.349192,14.211745,21.882555,14.911074,42.512762,33.91236,9.3608,9.880422,53.817427,34.080632,33.820814,72.634726,31.549766,11.812509,31.820049,51.867556,12.22922,9.828807,13.811768,105.005075,14.186467,33.498677,30.74502,20.514201,24.576551,51.194455,-9.241036,22.10045,1.194335,-7.046413,17.127747,-0.385424,23.705963,57.803466,18.478309,40.008182,-6.328123,30.173398,15.749558,37.491227,34.942973,16.753585,22.648178,-8.006926,38.589986,14.401644,21.466227,8.491458,50.627806,29.342692,0.0,2.0
905.631709,531.126155,14.403518,24.327496,66.256166,19.747081,17.387607,14.349192,14.211745,21.882555,14.911074,42.512762,33.91236,9.3608,9.880422,53.817427,34.080632,33.820814,72.634726,31.549766,11.812509,31.820049,51.867556,12.22922,9.828807,13.811768,105.005075,14.186467,33.498677,30.74502,20.514201,24.576551,51.194455,-9.241036,22.10045,1.194335,-7.046413,17.127747,-0.385424,23.705963,57.803466,18.478309,40.008182,-6.328123,30.173398,15.749558,37.491227,34.942973,16.753585,22.648178,-8.006926,38.589986,14.401644,21.466227,8.491458,50.627806,29.342692,1.0,2.0
816.131781,543.561881,31.176634,38.675929,26.376243,21.518935,7.846124,14.46098,14.269242,26.318649,16.991004,30.193776,34.442136,1.927478,9.423504,53.877509,41.777704,27.62786,78.65035,30.037847,14.098456,38.014789,45.906444,19.54873,2.478865,13.606174,55.716229,16.16823,34.675251,33.909697,25.148802,25.37341,39.625814,-11.423868,16.98019,2.006174,-3.371253,19.049756,-3.690618,25.730809,57.835292,12.390972,42.674438,-8.648119,31.547857,16.048446,47.615914,37.343738,26.155603,21.046642,-18.991616,34.18115,9.060462,24.867939,13.447043,53.458401,28.86892,0.0,3.0
816.131781,543.561881,19.521194,38.675929,26.376243,21.518935,7.846124,14.46098,14.269242,26.318649,16.991004,30.193776,34.442136,1.927478,9.423504,53.877509,41.777704,27.62786,78.65035,30.037847,14.098456,38.014789,45.906444,19.54873,2.478865,13.606174,55.716229,16.16823,34.675251,33.909697,25.148802,25.37341,39.625814,-11.423868,16.98019,2.006174,-3.371253,19.049756,-3.690618,25.730809,57.835292,12.390972,42.674438,-8.648119,31.547857,16.048446,47.615914,37.343738,26.155603,21.046642,-18.991616,34.18115,9.060462,24.867939,13.447043,53.458401,28.86892,1.0,3.0
961.955564,578.152078,38.228722,28.815705,23.615597,17.425133,16.991132,14.403678,15.785646,28.984789,22.634055,39.750017,33.822616,0.175389,9.973946,79.366547,70.132625,32.528972,71.411422,30.740984,15.794194,29.293597,45.640938,29.805556,17.570522,11.403702,89.220489,11.645241,42.208363,28.211529,19.33466,54.926347,26.788034,-9.932582,17.461305,3.687111,-2.825276,18.508178,4.372833,29.766419,55.338389,14.928698,44.547246,-8.412872,33.563789,21.917516,59.838908,43.462397,30.784781,23.613113,-14.010449,34.587032,12.579047,35.828844,10.222962,39.690534,24.28116,0.0,4.0
961.955564,578.152078,23.936846,28.815705,23.615597,17.425133,16.991132,14.403678,15.785646,28.984789,22.634055,39.750017,33.822616,0.175389,9.973946,79.366547,70.132625,32.528972,71.411422,30.740984,15.794194,29.293597,45.640938,29.805556,17.570522,11.403702,89.220489,11.645241,42.208363,28.211529,19.33466,54.926347,26.788034,-9.932582,17.461305,3.687111,-2.825276,18.508178,4.372833,29.766419,55.338389,14.928698,44.547246,-8.412872,33.563789,21.917516,59.838908,43.462397,30.784781,23.613113,-14.010449,34.587032,12.579047,35.828844,10.222962,39.690534,24.28116,1.0,4.0
1493.458926,783.082154,52.11113,39.439453,52.935652,26.139889,37.398194,14.902105,84.091573,71.904349,13.593763,52.17902,35.617675,8.732603,10.303334,94.410284,84.793544,27.706009,122.341819,41.187637,11.405094,125.304406,57.429108,30.475434,40.005956,14.154872,107.377648,26.573956,45.07559,29.539635,15.570199,63.835523,28.272718,0.166317,21.969088,13.208789,10.295834,19.424103,44.228749,58.449462,82.040947,11.530596,42.507556,15.071193,34.430585,25.241955,72.593093,58.34641,27.563239,22.842656,6.118761,67.483398,10.610416,42.166702,19.79117,32.476197,34.803877,0.0,5.0
1493.458926,783.082154,32.629291,39.439453,52.935652,26.139889,37.398194,14.902105,84.091573,71.904349,13.593763,52.17902,35.617675,8.732603,10.303334,94.410284,84.793544,27.706009,122.341819,41.187637,11.405094,125.304406,57.429108,30.475434,40.005956,14.154872,107.377648,26.573956,45.07559,29.539635,15.570199,63.835523,28.272718,0.166317,21.969088,13.208789,10.295834,19.424103,44.228749,58.449462,82.040947,11.530596,42.507556,15.071193,34.430585,25.241955,72.593093,58.34641,27.563239,22.842656,6.118761,67.483398,10.610416,42.166702,19.79117,32.476197,34.803877,1.0,5.0
1281.21755,804.68035,40.618108,36.351269,38.834563,26.899794,44.34251,14.797639,21.20489,30.337179,20.107481,43.780329,40.431782,16.922773,10.356499,91.421957,27.742375,27.94606,165.145611,33.452705,16.915749,88.329179,47.146026,50.712611,18.372224,13.26535,91.109618,28.828136,53.10823,32.904184,18.683585,80.51786,24.115916,-3.488055,19.198609,12.690416,9.938371,18.14515,26.211097,32.992352,80.780339,15.85972,44.590604,37.233205,64.842531,26.994133,58.476491,45.464055,29.584924,21.404643,-0.887515,41.027348,14.941741,47.96829,27.76899,34.699526,53.464549,0.0,6.0
1281.21755,804.68035,25.432956,36.351269,38.834563,26.899794,44.34251,14.797639,21.20489,30.337179,20.107481,43.780329,40.431782,16.922773,10.356499,91.421957,27.742375,27.94606,165.145611,33.452705,16.915749,88.329179,47.146026,50.712611,18.372224,13.26535,91.109618,28.828136,53.10823,32.904184,18.683585,80.51786,24.115916,-3.488055,19.198609,12.690416,9.938371,18.14515,26.211097,32.992352,80.780339,15.85972,44.590604,37.233205,64.842531,26.994133,58.476491,45.464055,29.584924,21.404643,-0.887515,41.027348,14.941741,47.96829,27.76899,34.699526,53.464549,1.0,6.0
893.415496,541.286994,29.467411,25.160557,26.058893,17.288928,22.411517,13.975048,16.271363,30.536736,16.889569,29.039579,40.683013,9.587346,15.523229,57.756073,8.303321,18.094233,74.456025,30.32362,11.1182,44.872296,44.662733,45.637942,11.94964,12.032932,94.694742,11.306149,30.897443,34.409026,11.254839,41.206917,43.990526,-13.439161,23.625606,-0.560592,-3.241479,20.06609,7.059564,41.312324,52.648609,17.54765,40.686004,-4.322854,30.724629,23.321073,11.300027,30.75703,18.52473,24.233759,-14.217527,36.790038,28.963827,51.172421,26.082961,36.253949,12.543987,0.0,7.0
893.415496,541.286994,18.450967,25.160557,26.058893,17.288928,22.411517,13.975048,16.271363,30.536736,16.889569,29.039579,40.683013,9.587346,15.523229,57.756073,8.303321,18.094233,74.456025,30.32362,11.1182,44.872296,44.662733,45.637942,11.94964,12.032932,94.694742,11.306149,30.897443,34.409026,11.254839,41.206917,43.990526,-13.439161,23.625606,-0.560592,-3.241479,20.06609,7.059564,41.312324,52.648609,17.54765,40.686004,-4.322854,30.724629,23.321073,11.300027,30.75703,18.52473,24.233759,-14.217527,36.790038,28.963827,51.172421,26.082961,36.253949,12.543987,1.0,7.0
811.597283,663.667317,42.84796,2.77482,43.006388,12.932341,35.364409,28.561436,4.690762,47.825684,33.53877,44.57833,65.058477,14.16607,11.458614,21.463301,6.243267,12.45726,5.834802,28.487956,8.300246,15.149068,13.183849,35.746178,37.142561,44.561765,25.535825,24.79587,15.885303,46.671103,49.358259,5.136965,23.580079,34.002465,20.39543,54.612332,15.864342,9.826839,22.316116,35.580486,59.754879,18.929622,67.648501,23.956866,22.270528,-3.903219,79.004465,28.865145,16.471183,8.793571,35.500735,2.969428,14.128908,32.414338,1.009346,27.297803,25.011457,0.0,8.0
